datum, rekeningnummer, debiteurnummer, crediteurnummer, medewerker, omschrijving, bedrag, faktuurnr, GUID
2003-09-29 00:00:00,     2400,, 60034      ,80038,Offerte 942367,1794,20000017,{FAF19F60-25F9-49F2-9CDD-119991A36285}
2003-09-29 00:00:00,     1511,, 60085      ,80038,,340.86000000000001,20000017,{FAF19F60-25F9-49F2-9CDD-119991A36285}
2003-09-29 00:00:00,     1600,, 60034      ,80038,DB3000 DB4000,-3794.9099999999999,20000017,{FAF19F60-25F9-49F2-9CDD-119991A36285}
2003-10-08 00:00:00,     1100,, 60034      ,80038,Offerte 942367,-3794.9099999999999,20000017,{C554B709-0176-443F-9588-D6ED51F944A6}
2003-10-08 00:00:00,     1600,, 60034      ,80038,Offerte 942367,3794.9099999999999,20000017,{C554B709-0176-443F-9588-D6ED51F944A6}
2003-10-03 00:00:00,     3000,, 60010      ,80026,,90,20000018,{35B132F6-7C3D-4193-A1AB-FF2C03637397}
2003-10-03 00:00:00,     1511,, 60085      ,80026,,17.100000000000001,20000018,{35B132F6-7C3D-4193-A1AB-FF2C03637397}
2003-10-03 00:00:00,     3000,, 60010      ,80026,,290,20000018,{35B132F6-7C3D-4193-A1AB-FF2C03637397}
2003-10-03 00:00:00,     1511,, 60085      ,80026,,55.100000000000001,20000018,{35B132F6-7C3D-4193-A1AB-FF2C03637397}
2003-10-03 00:00:00,     1600,, 60010      ,0,,-452.19999999999999,20000018,{35B132F6-7C3D-4193-A1AB-FF2C03637397}
2003-10-30 00:00:00,     1600,, 60010      ,80026,Betalingsverschil,2.2000000000000002,20000018,{7998FDE2-4A60-4652-88F5-94247BA2EF43}
2003-10-30 00:00:00,     9430,, 60010      ,80026,Betalingsverschil,-2.2000000000000002,20000018,{7998FDE2-4A60-4652-88F5-94247BA2EF43}
2003-10-30 00:00:00,     1600,, 60010      ,80026,Betalingsverschil,5,20000018,{2E46CDEC-E0CD-46D2-B757-6E874E26F5B2}
2003-10-30 00:00:00,     9430,, 60010      ,80026,Betalingsverschil,-5,20000018,{2E46CDEC-E0CD-46D2-B757-6E874E26F5B2}
2003-10-30 00:00:00,     1100,, 60010      ,0,,-445,20000018,{C380104E-1633-4066-AFF1-322C045ABC5C}
2003-10-30 00:00:00,     1600,, 60010      ,0,,445,20000018,{C380104E-1633-4066-AFF1-322C045ABC5C}
